jogador,time,ano
Clayton,1936,2024
Nathan,1936,2024
Gabriel Mercado,1936,2024
Alexander Bernabei,1936,2024
Guilherme Bahia,1936,2024
Kauã Barbosa,1936,2024
Carioca,1936,2024
Victor Gabriel,1936,2024
Evertow,1936,2024
Vitão,1936,2024
Pedro Kauã,1936,2024
João Dalla Corte,1936,2024
Fernando,1936,2024
Hyoran,1936,2024
Bruno Henrique,1936,2024
Alan Patrick,1936,2024
Bruno Gomes,1936,2024
Thiago Maia,1936,2024
Anderson,1936,2024
Gabriel Teixeira,1936,2024
Rodriguinho,1936,2024
Luis Otávio,1936,2024
Rômulo,1936,2024
Gustavo Prado,1936,2024
Matheus Cadorini,1936,2024
Pedro Pio,1936,2024
Wanderson,1936,2024
Enner Valencia,1936,2024
Bruno Tabata,1936,2024
Wendel,1936,2024
Pedrinho,1936,2024
Rafael Borré,1936,2024
Wesley,1936,2024
Adriel,1936,2024
Jhonatan Kauan,1936,2024
Lucas Alario,1936,2024
Yago,1936,2024
Lucca,1936,2024
Lucca Drummond,1936,2024
Ricardo Mathias,1936,2024
Leandro Mathias Silva Bueno,2026,2024
Rafael,2026,2024
Felipe Preis,2026,2024
João Pedro,2026,2024
Young,2026,2024
Jandrei,2026,2024
Igor Felisberto,2026,2024
Igor,2026,2024
Jamal Lewis,2026,2024
Robert Arboleda,2026,2024
Welington,2026,2024
Rafinha,2026,2024
Ruan,2026,2024
Alan Franco,2026,2024
João Moreira,2026,2024
Nahuel Ferraresi,2026,2024
Igão,2026,2024
Sabino,2026,2024
Patryck,2026,2024
Lucas Loss,2026,2024
Matheus Souza,2026,2024
Giuliano Galoppo,2026,2024
Rodrigo Nestor,2026,2024
Michel Araújo,2026,2024
Luiz Gustavo,2026,2024
Rodriguinho,2026,2024
Marcos Antonio,2026,2024
Damián Bobadilla,2026,2024
Alisson,2026,2024
Liziero,2026,2024
Wellington Rato,2026,2024
Pablo Maia,2026,2024
Cauã Lucca,2026,2024
Lucas Ferreira,2026,2024
Felipe Negrucci,2026,2024
Santiago Longo,2026,2024
Lucas Moura,2026,2024
Jonathan Calleri,2026,2024
Luciano,2026,2024
Paulo Sérgio,2026,2024
André Silva,2026,2024
Ryan Francisco,2026,2024
Erick,2026,2024
Henrique Carmo,2026,2024
William,2026,2024
Ferreira,2026,2024
King Faisal,2026,2024
João Gabriel,2026,2024
Danilo Fernandes,9967,2024
Marcos Felipe,9967,2024
Adriel,9967,2024
André Dhominique,9967,2024
Gilberto,9967,2024
Gabriel Xavier,9967,2024
Kanu,9967,2024
Santiago Arias,9967,2024
Víctor Cuesta,9967,2024
Iago,9967,2024
Vitor Hugo,9967,2024
David Duarte,9967,2024
Cicinho,9967,2024
Vitinho,9967,2024
Julio Cesar,9967,2024
Jean Lucas,9967,2024
Cauly Oliveira Souza,9967,2024
Éverton Ribeiro,9967,2024
Carlos De Peña,9967,2024
Thaciano,9967,2024
Caio Alexandre,9967,2024
Yago Felipe,9967,2024
Nicolás Acevedo,9967,2024
Sidney,9967,2024
Jota,9967,2024
Roger Gabriel,9967,2024
Ruan Pablo,9967,2024
Ademir,9967,2024
Everaldo,9967,2024
Gabriel Teixeira,9967,2024
Luciano Rodríguez,9967,2024
Rafael Ratão,9967,2024
Luciano,9967,2024
Tiago Souza De Jesus Carvalho,9967,2024
Cássio,2022,2024
Leonardo,2022,2024
Otávio,2022,2024
Marcelo,2022,2024
Gabriel Chapecó,2022,2024
Anderson Paixão,2022,2024
Wesley,2022,2024
Marlon,2022,2024
Zé Ivaldo,2022,2024
Kaiki,2022,2024
William,2022,2024
Lucas Villalba,2022,2024
Jonathan Jesus,2022,2024
Pedro Henrique Franklim Martins,2022,2024
João Marcelo,2022,2024
Weverton,2022,2024
Dorival,2022,2024
Victor Gabriel,2022,2024
Bruno Alves,2022,2024
Mateus Vital,2022,2024
Matheus Pereira,2022,2024
Lucas Silva,2022,2024
Ramiro,2022,2024
Walace,2022,2024
Álvaro Barreal,2022,2024
Vitinho,2022,2024
Lucas Romero,2022,2024
Fabrizio Peralta,2022,2024
Alessandro,2022,2024
Henrique Silva,2022,2024
Jhosefer,2022,2024
Xavier,2022,2024
Gui Meira,2022,2024
Rhuan Gabriel,2022,2024
Nicolas Pontes,2022,2024
Cauan Baptistella,2022,2024
Murilo Rhikman,2022,2024
Arthur Viana,2022,2024
Japa,2022,2024
Matheus Henrique,2022,2024
Rafael Silva,2022,2024
Juan Dinenno,2022,2024
Kaio Jorge,2022,2024
Lautaro Díaz,2022,2024
Gabriel Veron,2022,2024
Tevis Gabriel,2022,2024
Ruan Silva Fonseca,2022,2024
Kenji,2022,2024
Gustavo Zago,2022,2024
Phillipe Gabriel,3454,2024
