espn_id,local_,estadio,campeonato,arbitro,data_,horario,audiencia
699394,"Cuiabá, Brasil ",Arena Pantanal,2024 Brasileiro Serie A ,Bruno Arleu de Araujo, 5 de maio,17:30,10493
699404,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Ramon Abatti Abel, 11 de maio,15:00,56929
699400,"Goiãnia, Brasil ",Estádio Antônio Accioly,2024 Brasileiro Serie A ,Rodrigo Jose Pereira De Lima, 12 de maio,15:00,7576
699405,"Fortaleza, Brasil ",Castelão,2024 Brasileiro Serie A ,Wilton Pereira Sampaio, 12 de maio,15:00,15914
699407,"Barueri, Brasil ",Arena Barueri,2024 Brasileiro Serie A ,Braulio Da Silva Machado, 12 de maio,15:00,12108
699402,"Salvador, Brasil ",Arena Fonte Nova,2024 Brasileiro Serie A ,Gustavo Ervino Bauermann, 12 de maio,17:30,36523
699409,"Rio de Janeiro, Brasil ",Estádio São Januário,2024 Brasileiro Serie A ,Raphael Claus, 12 de maio,17:30,11094
699408,"São Paulo, Brasil ",MorumBIS,2024 Brasileiro Serie A ,"Daronco, Anderson", 13 de maio,19:00,39515
699416,"Curitiba, Brasil ",Couto Pereira,2024 Brasileiro Serie A ,Ramon Abatti Abel, 1 de junho,15:00,7439
699419,"Salvador, Brasil ",Estádio Manoel Barradas,2024 Brasileiro Serie A ,Kleber Ariel Gonçalves Da Silva, 1 de junho,15:00,15887
699413,"Cuiabá, Brasil ",Arena Pantanal,2024 Brasileiro Serie A ,Anderson Ribeiro Gonçalves, 1 de junho,17:30,5752
699414,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Matheus Delgado Candançan, 1 de junho,17:30,21037
699411,"São Paulo, Brasil ",Neo Química Arena,2024 Brasileiro Serie A ,"Daronco, Anderson", 1 de junho,20:00,40937
699410,"Belo Horizonte, Brasil ",Arena MRV,2024 Brasileiro Serie A ,Bruno Arleu de Araujo, 2 de junho,15:00,37994
699412,"Criciúma, Brasil ",Heriberto Hülse,2024 Brasileiro Serie A ,Rafael Rodrigo Klein, 2 de junho,15:00,19027
699418,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Braulio Da Silva Machado, 2 de junho,15:00,62228
699415,"Fortaleza, Brasil ",Estádio Presidente Vargas,2024 Brasileiro Serie A ,João Vitor Gobi, 2 de junho,17:30,12191
699417,"São Paulo, Brasil ",MorumBIS,2024 Brasileiro Serie A ,Lucas Paulo Torezin, 2 de junho,17:30,44928
699397,"Caxias do Sul, Brasil ",Alfredo Jaconi,2024 Brasileiro Serie A ,Raphael Claus, 5 de junho,18:00,5135
699363,"Cuiabá, Brasil ",Arena Pantanal,2024 Brasileiro Serie A ,Wilton Pereira Sampaio, 5 de junho,19:00,3614
699403,"Criciúma, Brasil ",Heriberto Hülse,2024 Brasileiro Serie A ,Bruno Arleu de Araujo, 9 de junho,15:00,13846
699421,"Goiãnia, Brasil ",Estádio Antônio Accioly,2024 Brasileiro Serie A ,Paulo Cezar Zanovelli Da Silva, 11 de junho,18:00,12089
699427,"Caxias do Sul, Brasil ",Alfredo Jaconi,2024 Brasileiro Serie A ,Wagner Do Nascimento Magalhaes, 11 de junho,18:00,6186
699423,"Rio de Janeiro, Brasil ",Estádio Nilton Santos,2024 Brasileiro Serie A ,Flavio Rodrigues de Souza, 11 de junho,19:00,27239
699425,"Bragança Paulista, Brasil ",Estádio Nabi Abi Chedid,2024 Brasileiro Serie A ,Rafael Rodrigo Klein, 11 de junho,20:30,4516
699429,"Belo Horizonte, Brasil ",Estadio Mineirão,2024 Brasileiro Serie A ,"De Lima Henrique, Marcelo", 13 de junho,18:00,26595
699420,"Curitiba, Brasil ",Ligga Arena,2024 Brasileiro Serie A ,Jonathan Pinheiro, 13 de junho,19:00,22515
699424,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Luiz Flavio de Oliveira, 13 de junho,19:00,51785
699426,"Criciúma, Brasil ",Heriberto Hülse,2024 Brasileiro Serie A ,Braulio Da Silva Machado, 13 de junho,19:00,19065
699422,"Salvador, Brasil ",Arena Fonte Nova,2024 Brasileiro Serie A ,Felipe Fernandes De Lima, 13 de junho,20:30,29889
699428,"São Paulo, Brasil ",Allianz Parque,2024 Brasileiro Serie A ,Ramon Abatti Abel, 13 de junho,20:30,37641
699434,"Bragança Paulista, Brasil ",Estádio Nabi Abi Chedid,2024 Brasileiro Serie A ,Emerson Ricardo De Almeida Andrade, 15 de junho,17:30,3275
699430,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Gustavo Ervino Bauermann, 15 de junho,20:00,14485
699436,"Curitiba, Brasil ",Ligga Arena,2024 Brasileiro Serie A ,"Daronco, Anderson", 16 de junho,15:00,37598
699438,"São Paulo, Brasil ",Neo Química Arena,2024 Brasileiro Serie A ,Ramon Abatti Abel, 16 de junho,15:00,45747
699435,"Salvador, Brasil ",Estádio Manoel Barradas,2024 Brasileiro Serie A ,Bruno Arleu de Araujo, 16 de junho,15:00,14143
699439,"Criciúma, Brasil ",Heriberto Hülse,2024 Brasileiro Serie A ,Flavio Rodrigues de Souza, 16 de junho,17:30,8661
699431,"Cuiabá, Brasil ",Arena Pantanal,2024 Brasileiro Serie A ,Jefferson Ferreira De Moraes, 16 de junho,17:30,4474
699432,"Espírito Santo, Brasil ",Kléber Andrade,2024 Brasileiro Serie A ,Paulo Cezar Zanovelli Da Silva, 16 de junho,17:30,15811
699433,"Rio de Janeiro, Brasil ",Estádio São Januário,2024 Brasileiro Serie A ,Rafael Rodrigo Klein, 16 de junho,17:30,11275
699437,"Belo Horizonte, Brasil ",Arena MRV,2024 Brasileiro Serie A ,Rodrigo Jose Pereira De Lima, 17 de junho,19:30,31448
699440,"Goiãnia, Brasil ",Estádio Antônio Accioly,2024 Brasileiro Serie A ,Alex Gomes Stefano, 19 de junho,18:00,6478
699441,"Rio de Janeiro, Brasil ",Estádio Nilton Santos,2024 Brasileiro Serie A ,Ramon Abatti Abel, 19 de junho,18:00,19589
699449,"Fortaleza, Brasil ",Castelão,2024 Brasileiro Serie A ,João Vitor Gobi, 19 de junho,19:00,16935
699446,"Caxias do Sul, Brasil ",Alfredo Jaconi,2024 Brasileiro Serie A ,Paulo Cezar Zanovelli Da Silva, 19 de junho,19:00,4838
699448,"São Paulo, Brasil ",MorumBIS,2024 Brasileiro Serie A ,Gustavo Ervino Bauermann, 19 de junho,19:00,33586
699442,"Belo Horizonte, Brasil ",Estadio Mineirão,2024 Brasileiro Serie A ,Matheus Delgado Candançan, 19 de junho,20:30,28812
699444,"Florianópolis, Brasil ",Orlando Scarpelli,2024 Brasileiro Serie A ,Wagner Do Nascimento Magalhaes, 19 de junho,20:30,17198
699445,"Salvador, Brasil ",Estádio Manoel Barradas,2024 Brasileiro Serie A ,"De Lima Henrique, Marcelo", 20 de junho,17:30,15044
699443,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Braulio Da Silva Machado, 20 de junho,19:00,49909
699447,"São Paulo, Brasil ",Allianz Parque,2024 Brasileiro Serie A ,"Daronco, Anderson", 20 de junho,20:30,29119
699453,"Criciúma, Brasil ",Heriberto Hülse,2024 Brasileiro Serie A ,Luiz Flavio de Oliveira, 22 de junho,15:00,16256
699456,"Curitiba, Brasil ",Couto Pereira,2024 Brasileiro Serie A ,Ramon Abatti Abel, 22 de junho,16:30,27771
699454,"Cuiabá, Brasil ",Arena Pantanal,2024 Brasileiro Serie A ,Bruno Pereira Vasconcelos, 22 de junho,17:30,5768
699459,"Rio de Janeiro, Brasil ",Estádio São Januário,2024 Brasileiro Serie A ,Caio Max Augusto Vieira, 22 de junho,20:30,5036
699450,"Curitiba, Brasil ",Ligga Arena,2024 Brasileiro Serie A ,Felipe Fernandes De Lima, 23 de junho,15:00,33689
699452,"Salvador, Brasil ",Arena Fonte Nova,2024 Brasileiro Serie A ,Paulo Belence Alves Dos Prazeres Filho, 23 de junho,15:00,34609
699455,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Rafael Rodrigo Klein, 23 de junho,15:00,57098
699451,"Belo Horizonte, Brasil ",Arena MRV,2024 Brasileiro Serie A ,Flavio Rodrigues de Souza, 23 de junho,17:30,20089
699457,"São Paulo, Brasil ",Allianz Parque,2024 Brasileiro Serie A ,Davi De Oliveira Lacerda, 23 de junho,17:30,38258
699458,"Bragança Paulista, Brasil ",Estádio Nabi Abi Chedid,2024 Brasileiro Serie A ,Jonathan Pinheiro, 23 de junho,17:30,4365
699462,"Rio de Janeiro, Brasil ",Estádio Nilton Santos,2024 Brasileiro Serie A ,Gustavo Ervino Bauermann, 26 de junho,18:00,13333
699464,"Belo Horizonte, Brasil ",Estadio Mineirão,2024 Brasileiro Serie A ,Davi De Oliveira Lacerda, 26 de junho,18:00,26465
699460,"Goiãnia, Brasil ",Estádio Antônio Accioly,2024 Brasileiro Serie A ,Bruno Arleu de Araujo, 26 de junho,19:00,8838
699463,"São Paulo, Brasil ",Neo Química Arena,2024 Brasileiro Serie A ,Fábio Augusto Santos Sá Junior, 26 de junho,19:00,38219
699468,"Caxias do Sul, Brasil ",Alfredo Jaconi,2024 Brasileiro Serie A ,Matheus Delgado Candançan, 26 de junho,19:00,12675
699461,"Salvador, Brasil ",Arena Fonte Nova,2024 Brasileiro Serie A ,João Vitor Gobi, 26 de junho,20:30,38021
699466,"Fortaleza, Brasil ",Castelão,2024 Brasileiro Serie A ,Alex Gomes Stefano, 26 de junho,20:30,28631
699467,"Criciúma, Brasil ",Heriberto Hülse,2024 Brasileiro Serie A ,Luiz Flavio de Oliveira, 26 de junho,20:30,9978
699465,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Flavio Rodrigues de Souza, 27 de junho,18:00,24269
699469,"São Paulo, Brasil ",MorumBIS,2024 Brasileiro Serie A ,Bruno Pereira Vasconcelos, 27 de junho,19:00,28008
699472,"Cuiabá, Brasil ",Arena Pantanal,2024 Brasileiro Serie A ,Felipe Fernandes De Lima, 29 de junho,17:30,5015
699478,"Rio de Janeiro, Brasil ",Estádio São Januário,2024 Brasileiro Serie A ,Ramon Abatti Abel, 29 de junho,17:30,16121
699470,"Belo Horizonte, Brasil ",Arena MRV,2024 Brasileiro Serie A ,Jonathan Pinheiro, 30 de junho,10:00,39767
699474,"Fortaleza, Brasil ",Castelão,2024 Brasileiro Serie A ,Rodrigo Jose Pereira De Lima, 30 de junho,15:00,34680
699475,"Caxias do Sul, Brasil ",Estádio Francisco Stédile (Centenário),2024 Brasileiro Serie A ,Paulo Cezar Zanovelli Da Silva, 30 de junho,15:00,8549
699477,"São Paulo, Brasil ",MorumBIS,2024 Brasileiro Serie A ,"De Lima Henrique, Marcelo", 30 de junho,15:00,49037
699471,"Criciúma, Brasil ",Heriberto Hülse,2024 Brasileiro Serie A ,Wagner Do Nascimento Magalhaes, 30 de junho,17:30,15859
699473,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Braulio Da Silva Machado, 30 de junho,17:30,56263
699479,"Salvador, Brasil ",Estádio Manoel Barradas,2024 Brasileiro Serie A ,Bruno Arleu de Araujo, 30 de junho,17:30,20376
699476,"São Paulo, Brasil ",Allianz Parque,2024 Brasileiro Serie A ,"Daronco, Anderson", 1 de julho,19:00,41175
699485,"Cuiabá, Brasil ",Arena Pantanal,2024 Brasileiro Serie A ,Paulo Cezar Zanovelli Da Silva, 3 de julho,18:00,7849
699489,"Criciúma, Brasil ",Heriberto Hülse,2024 Brasileiro Serie A ,João Vitor Gobi, 3 de julho,19:00,12352
699488,"Rio de Janeiro, Brasil ",Estádio São Januário,2024 Brasileiro Serie A ,Matheus Delgado Candançan, 3 de julho,19:00,14384
699480,"Curitiba, Brasil ",Ligga Arena,2024 Brasileiro Serie A ,Alex Gomes Stefano, 3 de julho,20:30,27482
699481,"Belo Horizonte, Brasil ",Arena MRV,2024 Brasileiro Serie A ,Ramon Abatti Abel, 3 de julho,20:30,39993
699484,"Bragança Paulista, Brasil ",Estádio Nabi Abi Chedid,2024 Brasileiro Serie A ,Davi De Oliveira Lacerda, 3 de julho,20:30,3018
699482,"Salvador, Brasil ",Arena Fonte Nova,2024 Brasileiro Serie A ,Wagner Do Nascimento Magalhaes, 4 de julho,18:00,42022
699487,"Caxias do Sul, Brasil ",Estádio Francisco Stédile (Centenário),2024 Brasileiro Serie A ,"De Lima Henrique, Marcelo", 4 de julho,18:00,15597
699483,"São Paulo, Brasil ",Neo Química Arena,2024 Brasileiro Serie A ,Gustavo Ervino Bauermann, 4 de julho,19:00,37689
699486,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Felipe Fernandes De Lima, 4 de julho,19:00,40337
699495,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Rodrigo Jose Pereira De Lima, 6 de julho,19:00,54948
699490,"São Paulo, Brasil ",MorumBIS,2024 Brasileiro Serie A ,Bruno Pereira Vasconcelos, 6 de julho,19:00,46321
699494,"Belo Horizonte, Brasil ",Estadio Mineirão,2024 Brasileiro Serie A ,Alex Gomes Stefano, 7 de julho,15:00,55186
699496,"Fortaleza, Brasil ",Castelão,2024 Brasileiro Serie A ,Davi De Oliveira Lacerda, 7 de julho,15:00,34831
699498,"Caxias do Sul, Brasil ",Alfredo Jaconi,2024 Brasileiro Serie A ,Matheus Delgado Candançan, 7 de julho,15:00,7984
699497,"Porto Alegre, Brasil ",Estadio Beira-Rio,2024 Brasileiro Serie A ,Gustavo Ervino Bauermann, 7 de julho,17:00,41693
699492,"Goiãnia, Brasil ",Estádio Antônio Accioly,2024 Brasileiro Serie A ,João Vitor Gobi, 7 de julho,17:30,6152
699499,"São Paulo, Brasil ",Allianz Parque,2024 Brasileiro Serie A ,Jonathan Pinheiro, 7 de julho,17:30,40198
699491,"Salvador, Brasil ",Estádio Manoel Barradas,2024 Brasileiro Serie A ,Bruno Mota Correia, 7 de julho,17:30,16489
699493,"Rio de Janeiro, Brasil ",Estádio Nilton Santos,2024 Brasileiro Serie A ,Rafael Rodrigo Klein, 7 de julho,19:30,21582
699504,"Caxias do Sul, Brasil ",Estádio Francisco Stédile (Centenário),2024 Brasileiro Serie A ,Bruno Arleu de Araujo, 10 de julho,17:30,4623
699502,"Curitiba, Brasil ",Ligga Arena,2024 Brasileiro Serie A ,Felipe Fernandes De Lima, 10 de julho,18:00,22407
699507,"Rio de Janeiro, Brasil ",Estádio São Januário,2024 Brasileiro Serie A ,Rafael Rodrigo Klein, 10 de julho,18:00,18421
699508,"São Paulo, Brasil ",Allianz Parque,2024 Brasileiro Serie A ,Wagner Do Nascimento Magalhaes, 11 de julho,18:30,26897
699500,"Criciúma, Brasil ",Heriberto Hülse,2024 Brasileiro Serie A ,"Daronco, Anderson", 11 de julho,19:00,11486
699505,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Edina Alves Batista, 11 de julho,19:00,57717
699501,"Belo Horizonte, Brasil ",Arena MRV,2024 Brasileiro Serie A ,"De Lima Henrique, Marcelo", 11 de julho,20:30,28772
699506,"Salvador, Brasil ",Estádio Manoel Barradas,2024 Brasileiro Serie A ,Ramon Abatti Abel, 11 de julho,20:30,16549
699516,"Salvador, Brasil ",Arena Fonte Nova,2024 Brasileiro Serie A ,Davi De Oliveira Lacerda, 13 de julho,15:00,48267
699513,"Belo Horizonte, Brasil ",Estádio Raimundo Sampaio (Independência),2024 Brasileiro Serie A ,Savio Pereira Sampaio, 13 de julho,15:00,20042
699518,"Brasília, Brasil ",Arena BRB Mané Garrincha,2024 Brasileiro Serie A ,Alex Gomes Stefano, 16 de julho,18:00,9788
699514,"São Paulo, Brasil ",Neo Química Arena,2024 Brasileiro Serie A ,Jonathan Pinheiro, 16 de julho,20:00,42965
699517,"Goiãnia, Brasil ",Estádio Antônio Accioly,2024 Brasileiro Serie A ,Matheus Delgado Candançan, 17 de julho,18:00,12089
699519,"São Paulo, Brasil ",MorumBIS,2024 Brasileiro Serie A ,Gustavo Ervino Bauermann, 17 de julho,19:00,53168
699515,"Rio de Janeiro, Brasil ",Estádio Nilton Santos,2024 Brasileiro Serie A ,"Daronco, Anderson", 17 de julho,20:30,39570
699511,"Fortaleza, Brasil ",Castelão,2024 Brasileiro Serie A ,Rafael Rodrigo Klein, 17 de julho,20:30,24813
699524,"Brasília, Brasil ",Arena BRB Mané Garrincha,2024 Brasileiro Serie A ,Maguielson Lima Barbosa, 20 de julho,15:00,60127
699526,"Rio de Janeiro, Brasil ",Estádio Nilton Santos,2024 Brasileiro Serie A ,Flavio Rodrigues de Souza, 20 de julho,17:30,31344
699520,"São Paulo, Brasil ",Allianz Parque,2024 Brasileiro Serie A ,Davi De Oliveira Lacerda, 20 de julho,20:00,40465
699522,"Caxias do Sul, Brasil ",Estádio Francisco Stédile (Centenário),2024 Brasileiro Serie A ,Savio Pereira Sampaio, 21 de julho,10:00,14241
699528,"Belo Horizonte, Brasil ",Arena MRV,2024 Brasileiro Serie A ,Raphael Claus, 21 de julho,15:00,42353
699527,"Salvador, Brasil ",Arena Fonte Nova,2024 Brasileiro Serie A ,Felipe Fernandes De Lima, 21 de julho,15:00,47096
699523,"Fortaleza, Brasil ",Castelão,2024 Brasileiro Serie A ,Lucas Paulo Torezin, 21 de julho,17:30,30822
699521,"Brasília, Brasil ",Arena BRB Mané Garrincha,2024 Brasileiro Serie A ,Wilton Pereira Sampaio, 21 de julho,17:30,26476
699529,"Bragança Paulista, Brasil ",Estádio Nabi Abi Chedid,2024 Brasileiro Serie A ,Denis Da Silva Ribeiro Serafim, 21 de julho,17:30,4343
699525,"Cuiabá, Brasil ",Arena Pantanal,2024 Brasileiro Serie A ,"Daronco, Anderson", 21 de julho,19:00,13231
699374,"Criciúma, Brasil ",Heriberto Hülse,2024 Brasileiro Serie A ,Jonathan Pinheiro, 24 de julho,18:00,13625
699534,"Belo Horizonte, Brasil ",Estadio Mineirão,2024 Brasileiro Serie A ,Maguielson Lima Barbosa, 24 de julho,18:00,46603
699531,"São Paulo, Brasil ",MorumBIS,2024 Brasileiro Serie A ,Felipe Fernandes De Lima, 24 de julho,18:30,53244
699539,"Salvador, Brasil ",Estádio Manoel Barradas,2024 Brasileiro Serie A ,Raphael Claus, 24 de julho,19:00,30509
699537,"Goiãnia, Brasil ",Estádio Antônio Accioly,2024 Brasileiro Serie A ,Luciano Da Silva Miranda Filho, 24 de julho,20:30,5777
699533,"Rio de Janeiro, Brasil ",Estadio do Maracanã,2024 Brasileiro Serie A ,Wilton Pereira Sampaio, 24 de julho,20:30,51375
699536,"São Paulo, Brasil ",Neo Química Arena,2024 Brasileiro Serie A ,Alex Gomes Stefano, 25 de julho,19:00,45183
